#,DATE,CURRENCY,STATUS,AMOUNT,FEES,DESCRIPTION,TRANSACTION ID,NOTE
11013393,16-09-18 19:48:13,ETH,CANCELED,-1499.9982,-0.0018,0x053F61455b7147C260Ecc591D733c5A9D2269Bd4,,
10906639,01-09-18 15:47:35,ETH,COMPLETED,885,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x6129c19c8e1d95efa761265cfa1c4776f4e7ef06c55107891b0b793ec2c7de23,
10675846,03-08-18 15:24:25,ETH,COMPLETED,-249.9973,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xaa9d5b6367e86e7bba9ec7aa937b815448f4c51d4ba5b84889deb0306fee6b09,
10675039,03-08-18 13:11:59,ETH,CANCELED,-249.9973,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,,
10674817,03-08-18 12:32:38,ETH,COMPLETED,1000,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x68e4e2b95618f2922ea5e03276ac2977fefce3eb94bf2e4ac9763f522ae655dc,
10613627,26-07-18 07:26:29,ETH,COMPLETED,-599.9973,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xa763462093b1c811f40809cb71a7443efae15ebedcaaeba0b0d3dc6f9ba9d7fb,
10613586,26-07-18 07:06:41,ETH,COMPLETED,600,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x4195f2eec63874b64700fbf1f418d6af27511ee09a4d048a3d271e1f78574c0e,
10558806,19-07-18 12:11:35,ETH,COMPLETED,150,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x722b837af9276d054289de773dcda3dd185f1b25928087e2dfeaa18aa2930870,
10486904,10-07-18 11:58:23,ETH,COMPLETED,-9.9973,-0.0027,0x4E6f50e4193a857Bb1F43e98a27cb0681B803C46,0x1cc68a31ce66111c499516b3ccc0c19854f4efe00898252d4e6d734f71b6d1e1,
10486611,10-07-18 10:51:13,ETH,COMPLETED,500,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x70a7c9dd9135aab4e56235d0f689c0e7a99c41dbd6f8cc0ec1336d92e98510f1,
10441640,04-07-18 14:23:06,BAT,COMPLETED,-311313.69041475,-10.806,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x5455ff867b93f600691b93755286615dd52be06d7068ea040f89c16e3d8dd224,
10414214,01-07-18 00:10:06,BAT,COMPLETED,-1995.4487,-4.5513,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xd5a7cf90c2a34cbae4aa9d101d423941068a74b32e95770ab4f99276f2a231b3,
10414201,01-07-18 00:09:10,ETH,COMPLETED,-252.44881955,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x921f88bcf2e3688b81e628a5be1b0c15a8bbc790c192241fb3637e9c53f15f76,
10328903,21-06-18 06:39:14,ETH,COMPLETED,500,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x0f70dbfe957dd7c06d4079c31313a2960664fce6ae7140752c04ee7705478d37,
10310498,19-06-18 08:00:15,ETH,COMPLETED,-640.83115418,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x9168f0973dec46afa0a04761192d1851cdb507a60c328128882f344d714a9a1f,
10229372,10-06-18 10:25:43,ETH,COMPLETED,550,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x9c696f0979b5cbe70b19d755a91429da81f2b8eafb6d15c8235289d4947cbd0f,
10215356,08-06-18 15:41:45,ETH,COMPLETED,-566.62597933,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xc8b2a79712d94e688faab14b160344061b3cf282b733cb2ccde9c1b0faf7d918,
10168504,03-06-18 13:11:17,ETH,COMPLETED,-299.9973,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x38a37560834acb5d80ae829f235c0c0db54668e18d8fd7dc92263d087cf7d916,
10110649,29-05-18 02:13:45,ETH,COMPLETED,-299.9973,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xc1c871dc35b15f6380d14ed549331f21fcda0971153b7721c1b654d2a4788707,
10110578,29-05-18 01:01:44,ETH,COMPLETED,300,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x3c30cc624d040f1efb8a8e7c7f49874668d4dab6a014d8cff9079494393c27b7,
10110095,28-05-18 23:47:44,ETH,COMPLETED,300,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xe580a58391606075f9f9ed1a875130c16b2cbed7da223fdf60c349a1a0d124c9,
9888578,09-05-18 14:16:01,RDN,COMPLETED,-68472.52511065,-0.85897,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x6aff8ee4fe83e8c91c6eaa143441fddc756afdf9a479f4a2a5a4ba5cbf5fb994,no trade done
9888443,09-05-18 13:53:02,RDN,COMPLETED,68473.38408065,0,0x1e26613d10badb7cd05691f09e9b3614565a5939,0x3731ba12a1cc6cc40998737cfac8800bb2509d690648631ba28726a3dcacce89,
9728084,27-04-18 10:37:54,ETH,COMPLETED,700,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x149a6bcc8801a86a6c87737dda07888c4d48ce5aea55fce7f164f9d89171706d,
9721509,26-04-18 20:57:20,ETH,COMPLETED,-699.9973,-0.0027,0x053F61455b7147C260Ecc591D733c5A9D2269Bd4,0x1a54947839874018e884f9e607b49086cd0e31b9e1f9f09be8fc26b3b357f476,
9712707,26-04-18 06:38:11,ETH,COMPLETED,700,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x0f1233ddd510fa0be79a35c4110c7a509add710b78987d77ba02e2fbc1e6edcd,
9683479,24-04-18 11:39:32,ETH,COMPLETED,-443.76654002,-0.0027,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x691b894e3e503dbd0970b975c09096de90ee32496c1ad9b26b8c7a0dca166f6b,about -150 eth in bad btc short
