Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee,Fee Currency,Fee Total
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375200,0.05863806,0.00022001,0.2%,208114150701,0.00021957,-0.05863806,BTC,0.00000044
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375467,648.79999000,2.43602985,0.2%,208114150701,2.43115780,-648.79999000,BTC,0.00487205
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375468,101.63145239,0.38159358,0.2%,208114150701,0.38083040,-101.63145239,BTC,0.00076318
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375470,30.00000000,0.11264100,0.2%,208114150701,0.11241572,-30.00000000,BTC,0.00022528
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375821,5.32168240,0.02000000,0.2%,208114150701,0.01996000,-5.32168240,BTC,0.00004000
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00375971,10.43242254,0.03922288,0.2%,208114150701,0.03914444,-10.43242254,BTC,0.00007844
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00376477,0.05896775,0.00022200,0.2%,208114150701,0.00022156,-0.05896775,BTC,0.00000044
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00376872,0.37701659,0.00142086,0.2%,208114150701,0.00141802,-0.37701659,BTC,0.00000284
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00376991,13.15360251,0.04958789,0.2%,208114150701,0.04948872,-13.15360251,BTC,0.00009917
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00377300,14.03449006,0.05295213,0.2%,208114150701,0.05284623,-14.03449006,BTC,0.00010590
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00377301,64.88000000,0.24479288,0.2%,208114150701,0.24430330,-64.88000000,BTC,0.00048958
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378111,0.02909198,0.00010999,0.2%,208114150701,0.00010978,-0.02909198,BTC,0.00000021
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378393,0.05814062,0.00022000,0.2%,208114150701,0.00021956,-0.05814062,BTC,0.00000044
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378407,0.05327598,0.00020160,0.2%,208114150701,0.00020120,-0.05327598,BTC,0.00000040
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378437,0.30123905,0.00114000,0.2%,208114150701,0.00113772,-0.30123905,BTC,0.00000228
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378732,1.36751846,0.00517923,0.2%,208114150701,0.00516888,-1.36751846,BTC,0.00001035
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378821,0.28509508,0.00108000,0.2%,208114150701,0.00107784,-0.28509508,BTC,0.00000216
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378856,0.26395241,0.00099999,0.2%,208114150701,0.00099800,-0.26395241,BTC,0.00000199
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378884,2.63932722,0.00999998,0.2%,208114150701,0.00997999,-2.63932722,BTC,0.00001999
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00378885,104.78600000,0.39701843,0.2%,208114150701,0.39622440,-104.78600000,BTC,0.00079403
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00379205,0.26898380,0.00102000,0.2%,208114150701,0.00101796,-0.26898380,BTC,0.00000204
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00379590,0.25290445,0.00096000,0.2%,208114150701,0.00095808,-0.25290445,BTC,0.00000192
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00379722,0.61630375,0.00234024,0.2%,208114150701,0.00233556,-0.61630375,BTC,0.00000468
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00379974,0.23685832,0.00090000,0.2%,208114150701,0.00089820,-0.23685832,BTC,0.00000180
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00380000,0.14732894,0.00055984,0.2%,208114150701,0.00055873,-0.14732894,BTC,0.00000111
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00380124,6.55026016,0.02489911,0.2%,208114150701,0.02484932,-6.55026016,BTC,0.00004979
2018-07-11 13:24:00,ZRX/BTC,Exchange,Buy,0.00013470,1077.62489710,0.14515607,0.2%,36339185631,-0.14515607,1075.46964731,ZRX,2.15524979
2018-07-11 13:24:00,ZRX/BTC,Exchange,Buy,0.00013462,0.78663388,0.00010589,0.2%,36339185631,-0.00010589,0.78506062,ZRX,0.00157326
2018-07-11 13:24:00,ZRX/BTC,Exchange,Buy,0.00013459,1000.00000000,0.13459000,0.2%,36339185631,-0.13459000,998.00000000,ZRX,2.00000000
2018-07-11 13:24:00,ZRX/BTC,Exchange,Buy,0.00013442,15.33288876,0.00206104,0.2%,36339185631,-0.00206104,15.30222299,ZRX,0.03066577
2018-07-11 13:24:00,ZRX/BTC,Exchange,Buy,0.00013345,218.75854982,0.02919332,0.2%,36339185631,-0.02919332,218.32103273,ZRX,0.43751709
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014700,2522.48646600,0.37080551,0.2%,36338979837,-0.37080551,2517.44149307,ZRX,5.04497293
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014700,375.24439765,0.05516092,0.2%,36338979837,-0.05516092,374.49390886,ZRX,0.75048879
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014699,14.88700000,0.00218824,0.2%,36338979837,-0.00218824,14.85722600,ZRX,0.02977400
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014688,54.46623093,0.00799999,0.2%,36338979837,-0.00799999,54.35729847,ZRX,0.10893246
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014680,69.51983298,0.01020551,0.2%,36338979837,-0.01020551,69.38079332,ZRX,0.13903966
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014630,75.00000000,0.01097250,0.2%,36338979837,-0.01097250,74.85000000,ZRX,0.15000000
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014629,72.44946315,0.01059863,0.2%,36338979837,-0.01059863,72.30456423,ZRX,0.14489892
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014600,123.88253746,0.01808685,0.2%,36338979837,-0.01808685,123.63477239,ZRX,0.24776507
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014600,19.44877505,0.00283952,0.2%,36338979837,-0.00283952,19.40987750,ZRX,0.03889755
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014582,6.52455768,0.00095141,0.2%,36338979837,-0.00095141,6.51150857,ZRX,0.01304911
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014571,74.60446150,0.01087061,0.2%,36338979837,-0.01087061,74.45525258,ZRX,0.14920892
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014570,0.93500000,0.00013622,0.2%,36338979837,-0.00013622,0.93313000,ZRX,0.00187000
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014549,5.74419017,0.00083572,0.2%,36338979837,-0.00083572,5.73270179,ZRX,0.01148838
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014511,1388.28861421,0.20145456,0.2%,36338979837,-0.20145456,1385.51203699,ZRX,2.77657722
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014508,12.70893729,0.00184381,0.2%,36338979837,-0.00184381,12.68351942,ZRX,0.02541787
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014500,4.59062394,0.00066564,0.2%,36338979837,-0.00066564,4.58144270,ZRX,0.00918124
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014500,10.46584718,0.00151754,0.2%,36338979837,-0.00151754,10.44491549,ZRX,0.02093169
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014444,4.07211635,0.00058817,0.2%,36338979837,-0.00058817,4.06397212,ZRX,0.00814423
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014408,25.00000000,0.00360200,0.2%,36338979837,-0.00360200,24.95000000,ZRX,0.05000000
2018-07-11 13:23:32,ZRX/BTC,Exchange,Buy,0.00014404,6.31229058,0.00090922,0.2%,36338979837,-0.00090922,6.29966600,ZRX,0.01262458
