Date,Currency,Amount,Fee Deducted,Amount - Fee,Address,Status
2018-02-12 14:27:37,ETH,58.00000000,0.01000000,57.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x2aed54e670408ac114c8c1bf43edd046a850629d58c9e9440fe47cc79e254728
2018-02-11 12:28:30,ETH,60.00000000,0.01000000,59.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x78567d3649de4b0b7473f7ee7f252e116b04a5ff2efee53804124fd4b9dc7ba2
2018-02-10 12:07:26,ETH,57.00000000,0.01000000,56.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xcb4e4dbdbd9fce08bb0da55ba92028256190b60363f92fd9a3039d19bf7daa86
2018-02-09 08:58:16,ETH,62.00000000,0.01000000,61.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x7df4e7534a97af51db4ef246569aaa5d016d5b4c505dd50adbb4a87a51b4ba13
2018-02-07 13:30:54,ETH,4.00000000,0.01000000,3.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x370860b646728f8c682911694b63996f5e4abbf637f2a7c7836bb703b40caf80
2018-02-07 13:20:46,ETH,53.00000000,0.01000000,52.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xc7b309e642378f92dadf5ab3cf73b6697e738485845a7d9ba707c9ecfcdf0338
2018-02-06 13:17:21,ETH,70.00000000,0.01000000,69.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x8900844ad4054c088fd84d17506e0ef7cbb1940407456dba4c103dd1da001b79
2018-02-05 12:08:58,ETH,63.00000000,0.01000000,62.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x62dc0d6070a23953940dff7966805c72cc1e44782a73bc07222510f18cb1d9ff
2018-02-02 22:37:21,ETH,52.00000000,0.01000000,51.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x117f272844d26148df87c0b8784e13ee65d4e66085389d59427aa3b8958c0eb3
2018-01-31 15:37:12,ETH,45.00000000,0.01000000,44.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x4f746a1e083c36c2544be489d94ad34c227d886524c41c7280da502e49e39a9c
